Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km)
JEEP,RENEGADE 4X4,SUV - SMALL,1.4,4,M6,X,9.9,7.5,8.8
JEEP,RENEGADE 4X4,SUV - SMALL,2.4,4,A9,X,11.2,8,9.8
JEEP,WRANGLER 4X4,SUV - SMALL,3.6,6,A5,X,14.1,11.1,12.8
JEEP,WRANGLER 4X4,SUV - SMALL,3.6,6,M6,X,14.2,11,12.8
JEEP,WRANGLER UNLIMITED 4X4,SUV - SMALL,3.6,6,A5,X,14.8,11.7,13.4
JEEP,WRANGLER UNLIMITED 4X4,SUV - SMALL,3.6,6,M6,X,15,11.4,13.4
KIA,CADENZA,FULL-SIZE,3.3,6,AS6,X,12.7,8.4,10.7
KIA,FORTE,MID-SIZE,1.8,4,AS6,X,8.8,6.1,7.6
KIA,FORTE,MID-SIZE,1.8,4,M6,X,9.3,6.3,7.9
KIA,FORTE,MID-SIZE,2,4,AS6,X,9.7,6.7,8.3
KIA,FORTE,MID-SIZE,2,4,M6,X,9.8,6.9,8.5
KIA,FORTE 5,FULL-SIZE,1.6,4,AS6,X,11.1,8,9.7
KIA,FORTE 5,FULL-SIZE,1.6,4,M6,X,11.1,8.2,9.8
KIA,FORTE 5,FULL-SIZE,2,4,AS6,X,9.5,7.2,8.5
KIA,FORTE 5,FULL-SIZE,2,4,M6,X,9.7,6.9,8.4
KIA,FORTE KOUP,COMPACT,1.6,4,AS6,X,10.6,7.8,9.4
KIA,FORTE KOUP,COMPACT,1.6,4,M6,X,10.8,8.1,9.6
KIA,FORTE KOUP,COMPACT,2,4,AS6,X,9.7,7.1,8.6
KIA,FORTE KOUP,COMPACT,2,4,M6,X,10,7.4,8.8
KIA,K900,FULL-SIZE,3.8,6,AS8,X,13.3,8.9,11.3
KIA,K900,FULL-SIZE,5,8,AS8,Z,15.7,10.3,13.3
KIA,OPTIMA,MID-SIZE,2,4,AS6,X,11.7,7.7,9.9
KIA,OPTIMA,MID-SIZE,2.4,4,AS6,X,10.2,6.9,8.7
KIA,OPTIMA HYBRID,MID-SIZE,2.4,4,AS6,X,6.6,5.9,6.3
KIA,OPTIMA HYBRID EX,MID-SIZE,2.4,4,AS6,X,6.7,6.1,6.4
KIA,RIO,COMPACT,1.6,4,AS6,X,8.8,6.3,7.7
KIA,RIO,COMPACT,1.6,4,M6,X,8.7,6.4,7.7
KIA,RIO ECO,COMPACT,1.6,4,AS6,X,8.5,6.3,7.6
KIA,RONDO,STATION WAGON - MID-SIZE,2,4,AS6,X,10.6,7.6,9.3
KIA,RONDO,STATION WAGON - MID-SIZE,2,4,M6,X,10.8,7.4,9.3
KIA,SEDONA,MINIVAN,3.3,6,AS6,X,13.2,9.7,11.6
KIA,SEDONA SX,MINIVAN,3.3,6,AS6,X,12.9,9.5,11.4
KIA,SEDONA SXL,MINIVAN,3.3,6,AS6,X,14.2,10.5,12.5
KIA,SORENTO,SUV - SMALL,2.4,4,AS6,X,11.8,8.7,10.4
KIA,SORENTO,SUV - SMALL,3.3,6,AS6,X,12.7,9,11.1
KIA,SORENTO AWD,SUV - SMALL,2.4,4,AS6,X,12.2,9.4,10.9
KIA,SORENTO AWD,SUV - SMALL,3.3,6,AS6,X,13.4,10,11.8
KIA,SOUL,STATION WAGON - SMALL,1.6,4,AS6,X,9.8,7.8,8.9
KIA,SOUL,STATION WAGON - SMALL,1.6,4,M6,X,9.9,7.8,9
KIA,SOUL,STATION WAGON - SMALL,2,4,AS6,X,10.1,7.7,9
KIA,SOUL ECO Dynamics,STATION WAGON - SMALL,2,4,AS6,X,9.7,7.7,8.8
KIA,SPORTAGE,SUV - SMALL,2.4,4,AS6,X,11.4,8.3,10
KIA,SPORTAGE,SUV - SMALL,2.4,4,M6,X,12.9,9.2,11.3
KIA,SPORTAGE AWD,SUV - SMALL,2,4,AS6,X,12.6,9.7,11.3
KIA,SPORTAGE AWD,SUV - SMALL,2.4,4,AS6,X,12,9.1,10.7
LAMBORGHINI,AVENTADOR COUPE,TWO-SEATER,6.5,12,AM7,Z,22.2,12.7,17.9
LAMBORGHINI,AVENTADOR ROADSTER,TWO-SEATER,6.5,12,AM7,Z,24,14.5,19.7
LAMBORGHINI,HURACAN,TWO-SEATER,5.2,10,AM7,Z,16.8,11.7,14.5
LAMBORGHINI,VENENO ROADSTER,TWO-SEATER,6.5,12,AM7,Z,22.1,13.9,18.4
LAND ROVER,LR2,SUV - SMALL,2,4,AS6,Z,13.5,9.9,11.9
LAND ROVER,LR4,SUV - STANDARD,3,6,AS8,Z,16.2,12.1,14.3
LAND ROVER,RANGE ROVER,SUV - STANDARD,3,6,AS8,Z,13.9,10.4,12.3
LAND ROVER,RANGE ROVER SUPERCHARGED,SUV - STANDARD,5,8,AS8,Z,17.2,12.5,15.1
LAND ROVER,RANGE ROVER SUPERCHARGED,SUV - STANDARD,5,8,AS8,E,25,16.9,21.4
LAND ROVER,RANGE ROVER SUPERCHARGED LWB,SUV - STANDARD,5,8,AS8,Z,17.2,12.5,15.1
LAND ROVER,RANGE ROVER SUPERCHARGED LWB,SUV - STANDARD,5,8,AS8,E,25,16.9,21.4
LAND ROVER,RANGE ROVER EVOQUE,SUV - SMALL,2,4,AS9,Z,11.3,7.9,9.7
LAND ROVER,RANGE ROVER EVOQUE COUPE,SUV - SMALL,2,4,AS9,Z,11.3,7.9,9.7
LAND ROVER,RANGE ROVER SPORT,SUV - STANDARD,3,6,AS8,Z,14,10.5,12.4
LAND ROVER,RANGE ROVER SPORT SUPERCHARGED,SUV - STANDARD,5,8,AS8,Z,16.6,12.3,14.7
LAND ROVER,RANGE ROVER SPORT SUPERCHARGED,SUV - STANDARD,5,8,AS8,E,24,16.6,20.7
LEXUS,CT 200h,COMPACT,1.8,4,AV,X,5.5,5.9,5.7
LEXUS,ES 300h,MID-SIZE,2.5,4,AV6,X,5.8,6.1,5.9
LEXUS,ES 350,MID-SIZE,3.5,6,AS6,X,11.3,7.5,9.6
LEXUS,GS 350,MID-SIZE,3.5,6,AS8,Z,12.3,8.5,10.6
LEXUS,GS 350 AWD,MID-SIZE,3.5,6,AS6,Z,12.6,9.1,11
LEXUS,GS 450h,MID-SIZE,3.5,6,AV8,Z,8,6.9,7.5
LEXUS,GX 460,SUV - STANDARD,4.6,8,AS6,Z,15.7,11.7,13.9
LEXUS,IS 250,COMPACT,2.5,6,AS6,Z,11.1,7.8,9.6
LEXUS,IS 250 AWD,COMPACT,2.5,6,AS6,Z,11.8,8.7,10.4
LEXUS,IS 250 C,SUBCOMPACT,2.5,6,AS6,Z,11.2,7.8,9.6
LEXUS,IS 350,COMPACT,3.5,6,AS8,Z,12.3,8.5,10.6
LEXUS,IS 350 AWD,COMPACT,3.5,6,AS6,Z,12.6,9.1,11
LEXUS,IS 350 C,SUBCOMPACT,3.5,6,AS6,Z,12.2,8.7,10.6
LEXUS,LS 460,MID-SIZE,4.6,8,AS8,Z,14.4,9.6,12.3
LEXUS,LS 460 AWD,MID-SIZE,4.6,8,AS8,Z,15.2,10.2,12.9
LEXUS,LS 460 L AWD,MID-SIZE,4.6,8,AS8,Z,15.2,10.2,12.9
LEXUS,LS 600h L,MID-SIZE,5,8,AV8,Z,12.7,10.1,11.5
LEXUS,LX 570,SUV - STANDARD,5.7,8,AS6,Z,19,13.6,16.6
LEXUS,NX 200t AWD,SUV - SMALL,2,4,AS6,Z,10.6,8.4,9.6
LEXUS,NX 200t AWD F SPORT,SUV - SMALL,2,4,AS6,Z,10.8,8.8,9.9
LEXUS,NX 300h AWD,SUV - SMALL,2.5,4,AV6,X,7.1,7.7,7.4
LEXUS,RC 350,SUBCOMPACT,3.5,6,AS8,Z,12.3,8.5,10.6
LEXUS,RC 350 AWD,SUBCOMPACT,3.5,6,AS6,Z,12.6,9.1,11
LEXUS,RC F,SUBCOMPACT,5,8,AS8,Z,15.2,9.5,12.6
LEXUS,RX 350 AWD,SUV - SMALL,3.5,6,AS6,X,13.3,9.8,11.7
LEXUS,RX 350 AWD,SUV - SMALL,3.5,6,AS8,X,12.7,9.1,11.1
LEXUS,RX 450h AWD,SUV - SMALL,3.5,6,AV6,Z,8,8.5,8.2
LINCOLN,MKC AWD,SUV - SMALL,2,4,AS6,X,12.4,9,10.9
LINCOLN,MKC AWD,SUV - SMALL,2.3,4,AS6,X,12.9,9.2,11.2
LINCOLN,MKS AWD,FULL-SIZE,3.5,6,AS6,X,13.9,9.5,11.9
LINCOLN,MKS AWD,FULL-SIZE,3.7,6,AS6,X,13.1,9,11.2
LINCOLN,MKT AWD,SUV - STANDARD,3.5,6,AS6,X,14.6,10.4,12.8
LINCOLN,MKT LIVERY,SPECIAL PURPOSE VEHICLE,2,4,AS6,X,11.5,8.4,10.1
LINCOLN,MKT LIVERY AWD,SPECIAL PURPOSE VEHICLE,3.7,6,A6,X,14.1,10,12.2
LINCOLN,MKX AWD,SUV - SMALL,3.7,6,AS6,X,13.7,10.3,12.1
LINCOLN,MKZ,MID-SIZE,2,4,AS6,X,10.5,7,8.9
LINCOLN,MKZ AWD,MID-SIZE,3.7,6,AS6,X,13.1,9.2,11.3
LINCOLN,MKZ HYBRID,MID-SIZE,2,4,AV,X,5.7,6,5.8
LINCOLN,NAVIGATOR 4X4,SUV - STANDARD,3.5,6,AS6,X,16.2,11.8,14.2
LINCOLN,NAVIGATOR L 4X4,SUV - STANDARD,3.5,6,AS6,X,16.1,12.3,14.4
MASERATI,GHIBLI,MID-SIZE,3,6,AS8,Z,15.2,9.6,12.7
MASERATI,GHIBLI AWD,MID-SIZE,3,6,AS8,Z,15.6,9.5,12.8
MASERATI,GRANTURISMO,SUBCOMPACT,4.7,8,AS6,Z,18.2,11.4,15.1
MASERATI,GRANTURISMO CONVERTIBLE,SUBCOMPACT,4.7,8,AS6,Z,18.2,11.6,15.2
MASERATI,QUATTROPORTE GTS,FULL-SIZE,3.8,8,AS8,Z,17.5,10.7,14.5
MASERATI,QUATTROPORTE SQ4,FULL-SIZE,3,6,AS8,Z,15.7,9.7,13
MAZDA,CX-5,SUV - SMALL,2,4,AS6,X,8.9,7.3,8.2
MAZDA,CX-5,SUV - SMALL,2,4,M6,X,9,6.8,8
MAZDA,CX-5,SUV - SMALL,2.5,4,AS6,X,9.6,7.4,8.6
MAZDA,CX-5 4WD,SUV - SMALL,2,4,AS6,X,9.3,7.6,8.5
MAZDA,CX-5 4WD,SUV - SMALL,2.5,4,AS6,X,9.9,7.9,9
MAZDA,CX-9,SUV - SMALL,3.7,6,AS6,X,14.2,10,12.3
MAZDA,CX-9 4WD,SUV - SMALL,3.7,6,AS6,X,14.3,10.6,12.7
MAZDA,MAZDA3 4-DOOR,COMPACT,2,4,AS6,X,7.9,5.7,6.9
MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2,4,M6,X,8,5.8,7
MAZDA,MAZDA3 4-DOOR,COMPACT,2.5,4,AS6,X,8.4,6.1,7.4
MAZDA,MAZDA3 4-DOOR (i-ELOOP),COMPACT,2.5,4,AS6,X,8.2,5.9,7.2
MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2.5,4,M6,X,9.3,6.4,8
MAZDA,MAZDA3 5-DOOR,MID-SIZE,2,4,AS6,X,8,5.9,7
MAZDA,MAZDA3 5-DOOR (SIL),MID-SIZE,2,4,M6,X,8.2,5.9,7.1
MAZDA,MAZDA3 5-DOOR,MID-SIZE,2.5,4,AS6,X,8.7,6.5,7.7
MAZDA,MAZDA3 5-DOOR (i-ELOOP),MID-SIZE,2.5,4,AS6,X,8.2,6,7.2
MAZDA,MAZDA3 5-DOOR (SIL),MID-SIZE,2.5,4,M6,X,9.2,6.6,8.1
MAZDA,MAZDA5,MINIVAN,2.5,4,AS5,X,10.7,8.2,9.6
MAZDA,MAZDA5,MINIVAN,2.5,4,M6,X,11.1,8.3,9.8
MAZDA,MAZDA6,MID-SIZE,2.5,4,AS6,X,8.8,6.1,7.6
MAZDA,MAZDA6,MID-SIZE,2.5,4,M6,X,9.4,6.4,8.1
MAZDA,MAZDA6 (i-ELOOP),MID-SIZE,2.5,4,AS6,X,8.4,5.9,7.3
MAZDA,MX-5,TWO-SEATER,2,4,AS6,Z,11.5,8.5,10.1
MAZDA,MX-5,TWO-SEATER,2,4,M5,Z,10.5,8.5,9.6
MAZDA,MX-5,TWO-SEATER,2,4,M6,Z,11.1,8.4,9.9
MERCEDES-BENZ,B 250,STATION WAGON - SMALL,2,4,AS7,Z,9.2,6.6,8
MERCEDES-BENZ,B 250 4MATIC,STATION WAGON - SMALL,2,4,AS7,Z,10,7.5,8.9
MERCEDES-BENZ,C 250 COUPE,SUBCOMPACT,1.8,4,AS7,Z,10.9,7.5,9.4
MERCEDES-BENZ,C 300 4MATIC,COMPACT,2,4,AS7,Z,10.1,7.8,9
MERCEDES-BENZ,C 350 4MATIC COUPE,SUBCOMPACT,3.5,6,AS7,Z,12.1,8.7,10.6
MERCEDES-BENZ,C 350 COUPE,SUBCOMPACT,3.5,6,AS7,Z,12.1,8.6,10.5
MERCEDES-BENZ,C 400 4MATIC,COMPACT,3,6,AS7,Z,11.1,8.4,9.9
MERCEDES-BENZ,C 63 AMG COUPE,SUBCOMPACT,6.2,8,AS7,Z,17.9,12.3,15.4
MERCEDES-BENZ,CLA 250,SUBCOMPACT,2,4,AS7,Z,9.4,6.4,8.1
MERCEDES-BENZ,CLA 250 4MATIC,SUBCOMPACT,2,4,AS7,Z,9.9,7.4,8.8
MERCEDES-BENZ,CLA 45 AMG,COMPACT,2,4,AS7,Z,10.2,7.7,9.1
MERCEDES-BENZ,CLS 400 4MATIC,COMPACT,3,6,AS7,Z,12.1,8.5,10.5
MERCEDES-BENZ,CLS 550 4MATIC,COMPACT,4.7,8,AS7,Z,14.5,10.1,12.5
MERCEDES-BENZ,CLS 63 AMG 4MATIC,COMPACT,5.5,8,AS7,Z,15.1,10.8,13.1
MERCEDES-BENZ,E 250 BLUETEC 4MATIC,MID-SIZE,2.1,4,AS7,D,8.6,5.9,7.4
MERCEDES-BENZ,E 300 4MATIC,MID-SIZE,3.5,6,AS7,Z,11.9,8.2,10.2
MERCEDES-BENZ,E 400 4MATIC,MID-SIZE,3,6,AS7,Z,12,8.5,10.4
MERCEDES-BENZ,E 400 4MATIC WAGON,STATION WAGON - MID-SIZE,3.5,6,AS7,Z,12.4,8.8,10.8
MERCEDES-BENZ,E 400 CABRIOLET,SUBCOMPACT,3.5,6,AS7,Z,11.5,8.1,10
MERCEDES-BENZ,E 400 COUPE,SUBCOMPACT,3.5,6,AS7,Z,11.8,8.3,10.2
MERCEDES-BENZ,E 550 4MATIC,MID-SIZE,4.7,8,AS7,Z,12.9,9.6,11.4
MERCEDES-BENZ,E 550 CABRIOLET,SUBCOMPACT,4.7,8,AS7,Z,13.7,9.2,11.7
MERCEDES-BENZ,E 550 COUPE,SUBCOMPACT,4.7,8,AS7,Z,13.3,8.9,11.4
MERCEDES-BENZ,E 63 AMG S 4MATIC,MID-SIZE,5.5,8,AS7,Z,15.3,10.8,13.3
MERCEDES-BENZ,E 63 AMG S 4MATIC WAGON,STATION WAGON - MID-SIZE,5.5,8,AS7,Z,15.2,11,13.3
MERCEDES-BENZ,G 550,SUV - STANDARD,5.5,8,AS7,Z,19.9,16.1,18.2
MERCEDES-BENZ,G 63 AMG,SUV - STANDARD,5.5,8,AS7,Z,20,16.6,18.5
MERCEDES-BENZ,GL 350 BLUETEC 4MATIC,SUV - STANDARD,3,6,AS7,D,13.6,10,12
MERCEDES-BENZ,GL 450 4MATIC,SUV - STANDARD,3,6,AS7,Z,15.2,12.6,14
MERCEDES-BENZ,GL 550 4MATIC,SUV - STANDARD,4.7,8,AS7,Z,17.5,13.2,15.6
MERCEDES-BENZ,GL 63 AMG,SUV - STANDARD,5.5,8,AS7,Z,18.2,14,16.3
MERCEDES-BENZ,GLA 250 4MATIC,SUV - SMALL,2,4,AS7,Z,9.8,7.4,8.7
MERCEDES-BENZ,GLA 45 AMG 4MATIC,STATION WAGON - MID-SIZE,2,4,AS7,Z,10.5,8.1,9.4
MERCEDES-BENZ,GLK 250 BLUETEC 4MATIC,SUV - SMALL,2.1,4,AS7,D,9.6,7,8.5
MERCEDES-BENZ,GLK 350 4MATIC,SUV - SMALL,3.5,6,AS7,Z,12.6,9.6,11.2
MERCEDES-BENZ,ML 350 BLUETEC 4MATIC,SUV - STANDARD,3,6,AS7,D,11.8,8.5,10.3
MERCEDES-BENZ,ML 400 4MATIC,SUV - STANDARD,3,6,AS7,Z,13.3,10.4,12
MERCEDES-BENZ,ML 550 4MATIC,SUV - STANDARD,4.7,8,AS7,Z,16.3,11.8,14.2
MERCEDES-BENZ,ML 63 AMG 4MATIC,SUV - STANDARD,5.5,8,AS7,Z,17.3,13.5,15.6
MERCEDES-BENZ,S 400 4MATIC,MID-SIZE,4.7,6,AS7,Z,12.6,8.6,10.8
MERCEDES-BENZ,S 550 4MATIC COUPE,COMPACT,4.7,8,AS7,Z,14.4,9.8,12.3
MERCEDES-BENZ,S 550 4MATIC LWB,FULL-SIZE,4.7,8,AS7,Z,14.8,9.8,12.5
MERCEDES-BENZ,S 550 4MATIC SWB,MID-SIZE,4.7,8,AS7,Z,14.7,9.1,12.2
MERCEDES-BENZ,S 600,FULL-SIZE,6,12,AS7,Z,18.1,11,14.9
MERCEDES-BENZ,S 63 AMG 4MATIC,FULL-SIZE,5.5,8,AS7,Z,15.7,10.1,13.2
MERCEDES-BENZ,S 63 AMG COUPE,COMPACT,5.5,8,AS7,Z,15.7,10.1,13.2
MERCEDES-BENZ,S 65 AMG,FULL-SIZE,6,12,AS7,Z,18.5,11.8,15.5
MERCEDES-BENZ,S 65 AMG COUPE,COMPACT,6,12,AS7,Z,18,11.3,15
MERCEDES-BENZ,SL 550,TWO-SEATER,4.7,8,AS7,Z,13.8,9.5,11.9
MERCEDES-BENZ,SL 63 AMG,TWO-SEATER,5.5,8,AS7,Z,14.7,9.5,12.4
MERCEDES-BENZ,SL 65 AMG,TWO-SEATER,6,12,AS7,Z,16.7,11.2,14.2
MERCEDES-BENZ,SLK 250,TWO-SEATER,1.8,4,AS7,Z,10.4,7.2,9
MERCEDES-BENZ,SLK 250,TWO-SEATER,1.8,4,M6,Z,10.4,7.2,9
MERCEDES-BENZ,SLK 350,TWO-SEATER,3.5,6,AS7,Z,11.1,8.1,9.8
MERCEDES-BENZ,SLK 55 AMG,TWO-SEATER,5.5,8,AS7,Z,12.4,8.5,10.6
MERCEDES-BENZ,SLS AMG GT COUPE,TWO-SEATER,6.2,8,AM7,Z,18.1,12.6,15.6
MERCEDES-BENZ,SLS AMG GT ROADSTER,TWO-SEATER,6.2,8,AM7,Z,18.1,12.6,15.6
MINI,COOPER 3 DOOR,SUBCOMPACT,1.5,3,AS6,Z,8.5,6.3,7.5
MINI,COOPER 3 DOOR,SUBCOMPACT,1.5,3,M6,Z,8.1,5.9,7.1
MINI,COOPER 5 DOOR,SUBCOMPACT,1.5,3,AS6,Z,8.5,6.3,7.5
MINI,COOPER 5 DOOR,SUBCOMPACT,1.5,3,M6,Z,8.2,5.9,7.2
MINI,COOPER CONVERTIBLE,MINICOMPACT,1.6,4,AS6,Z,8.6,6.5,7.7
MINI,COOPER CONVERTIBLE,MINICOMPACT,1.6,4,M6,Z,8.4,6.4,7.5
MINI,COOPER COUNTRYMAN,COMPACT,1.6,4,AS6,Z,9.4,7.9,8.7
MINI,COOPER COUNTRYMAN,COMPACT,1.6,4,M6,Z,8.4,6.4,7.5
MINI,COOPER COUPE,TWO-SEATER,1.6,4,AS6,Z,8.5,6.5,7.6
MINI,COOPER COUPE,TWO-SEATER,1.6,4,M6,Z,8,6.4,7.3
MINI,COOPER PACEMAN,COMPACT,1.6,4,AS6,Z,9.4,7.9,8.7
MINI,COOPER PACEMAN,COMPACT,1.6,4,M6,Z,8.4,6.4,7.5
MINI,COOPER ROADSTER,TWO-SEATER,1.6,4,AS6,Z,8.6,6.5,7.7
MINI,COOPER ROADSTER,TWO-SEATER,1.6,4,M6,Z,8.4,6.4,7.5
MINI,COOPER S 3 DOOR,SUBCOMPACT,2,4,AS6,Z,9.2,7,8.2
MINI,COOPER S 3 DOOR,SUBCOMPACT,2,4,M6,Z,10,7,8.6
MINI,COOPER S 5 DOOR,SUBCOMPACT,2,4,AS6,Z,9.2,7,8.2
MINI,COOPER S 5 DOOR,SUBCOMPACT,2,4,M6,Z,10,7,8.6
MINI,COOPER S CONVERTIBLE,MINICOMPACT,1.6,4,AS6,Z,9.2,6.8,8.1
MINI,COOPER S CONVERTIBLE,MINICOMPACT,1.6,4,M6,Z,9.1,6.8,8.1
MINI,COOPER S COUNTRYMAN ALL4,COMPACT,1.6,4,AS6,Z,10.1,7.8,9
MINI,COOPER S COUNTRYMAN ALL4,COMPACT,1.6,4,M6,Z,9.5,7.7,8.7
MINI,COOPER S COUPE,TWO-SEATER,1.6,4,AS6,Z,9.2,6.8,8.1
MINI,COOPER S COUPE,TWO-SEATER,1.6,4,M6,Z,9.1,6.8,8.1
MINI,COOPER S PACEMAN ALL4,COMPACT,1.6,4,AS6,Z,10.1,7.8,9
MINI,COOPER S PACEMAN ALL4,COMPACT,1.6,4,M6,Z,9.5,7.7,8.7
MINI,COOPER S ROADSTER,TWO-SEATER,1.6,4,AS6,Z,9.2,6.8,8.1
MINI,COOPER S ROADSTER,TWO-SEATER,1.6,4,M6,Z,9.1,6.8,8.1
MINI,JOHN COOPER WORKS,SUBCOMPACT,2,4,AS6,Z,9.3,7.3,8.4
MINI,JOHN COOPER WORKS,SUBCOMPACT,2,4,M6,Z,10.4,7.7,9.2
MINI,JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,1.6,4,AS6,Z,9.2,6.8,8.1
MINI,JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,1.6,4,M6,Z,9.1,6.8,8.1
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,COMPACT,1.6,4,AS6,Z,10.1,7.8,9
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,COMPACT,1.6,4,M6,Z,9.5,7.7,8.7
MINI,JOHN COOPER WORKS COUPE,TWO-SEATER,1.6,4,AS6,Z,9.2,6.8,8.1
MINI,JOHN COOPER WORKS COUPE,TWO-SEATER,1.6,4,M6,Z,9.1,6.8,8.1
MINI,JOHN COOPER WORKS PACEMAN ALL4,COMPACT,1.6,4,AS6,Z,10.1,7.8,9
MINI,JOHN COOPER WORKS PACEMAN ALL4,COMPACT,1.6,4,M6,Z,9.5,7.7,8.7
MINI,JOHN COOPER WORKS ROADSTER,TWO-SEATER,1.6,4,AS6,Z,9.2,6.8,8.1
MINI,JOHN COOPER WORKS ROADSTER,TWO-SEATER,1.6,4,M6,Z,9.1,6.8,8.1
MITSUBISHI,LANCER,COMPACT,2,4,AV6,X,9.2,6.9,8.2
MITSUBISHI,LANCER,COMPACT,2,4,M5,X,9.6,6.9,8.4
MITSUBISHI,LANCER AWD,COMPACT,2.4,4,AV6,X,10.5,8.2,9.5
MITSUBISHI,LANCER EVOLUTION,COMPACT,2,4,AM6,Z,14.2,10.5,12.5
MITSUBISHI,LANCER EVOLUTION,COMPACT,2,4,M5,Z,14,10.3,12.3
MITSUBISHI,LANCER RALLIART,COMPACT,2,4,AM6,Z,13.4,9.4,11.6
MITSUBISHI,LANCER SPORTBACK,STATION WAGON - SMALL,2,4,AV6,X,9.6,7.3,8.6
MITSUBISHI,LANCER SPORTBACK,STATION WAGON - SMALL,2,4,M5,X,9.8,7.1,8.6
MITSUBISHI,MIRAGE,COMPACT,1.2,3,AV,X,6.4,5.3,5.9
MITSUBISHI,MIRAGE,COMPACT,1.2,3,M5,X,7,5.5,6.4
MITSUBISHI,OUTLANDER,SUV - SMALL,2.4,4,AV6,X,9.5,7.5,8.6
MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,2.4,4,AV6,X,9.9,8.1,9.1
MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,3,6,AS6,Z,11.5,8.4,10.1
MITSUBISHI,RVR,SUV - SMALL,2,4,AV6,X,9.3,7.3,8.4
MITSUBISHI,RVR,SUV - SMALL,2,4,M5,X,9.9,7.6,8.8
MITSUBISHI,RVR 4WD,SUV - SMALL,2,4,AV6,X,9.6,7.7,8.8
MITSUBISHI,RVR 4WD,SUV - SMALL,2.4,4,AV6,X,10.4,8.5,9.6
NISSAN,370Z COUPE,TWO-SEATER,3.7,6,AS7,Z,12.6,9.2,11.1
NISSAN,370Z COUPE,TWO-SEATER,3.7,6,M6,Z,13.3,9.3,11.5
NISSAN,370Z ROADSTER,TWO-SEATER,3.7,6,AS7,Z,13,9.6,11.5
NISSAN,370Z ROADSTER,TWO-SEATER,3.7,6,M6,Z,13.6,9.7,11.8
NISSAN,ALTIMA,MID-SIZE,2.5,4,AV,X,8.7,6.2,7.6
NISSAN,ALTIMA,MID-SIZE,3.5,6,AV,X,10.3,7.4,9
NISSAN,ARMADA 4WD,SUV - STANDARD,5.6,8,A5,X,19.2,13.4,16.6
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4,A5,X,13.7,10.6,12.3
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4,M5,X,12.2,10.2,11.3
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,4,6,A5,X,14.8,10.3,12.7
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4,6,A5,X,15.7,11.3,13.7
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4,6,M6,X,15,11.2,13.3
NISSAN,GT-R,SUBCOMPACT,3.8,6,AM6,Z,14.3,10.5,12.6
NISSAN,JUKE,STATION WAGON - SMALL,1.6,4,AV7,X,8.5,7.2,7.9
NISSAN,JUKE,STATION WAGON - SMALL,1.6,4,M6,X,8.4,6.9,7.7
NISSAN,JUKE AWD,STATION WAGON - SMALL,1.6,4,AV7,X,8.8,7.5,8.2
NISSAN,JUKE NISMO RS,STATION WAGON - SMALL,1.6,4,M6,Z,8.9,7.5,8.3
NISSAN,JUKE NISMO RS AWD,STATION WAGON - SMALL,1.6,4,AV8,Z,9.4,8.1,8.8
NISSAN,MICRA,COMPACT,1.6,4,A4,X,8.8,6.6,7.8
NISSAN,MICRA,COMPACT,1.6,4,M5,X,8.6,6.6,7.7
NISSAN,MURANO,STATION WAGON - MID-SIZE,3.5,6,AV7,X,11,8.2,9.8
NISSAN,MURANO AWD,STATION WAGON - MID-SIZE,3.5,6,AV7,X,11.2,8.3,9.9
NISSAN,NV200 CARGO VAN,SPECIAL PURPOSE VEHICLE,2,4,AV,X,9.7,9,9.4
NISSAN,PATHFINDER,SUV - SMALL,3.5,6,AV,X,11.9,8.6,10.4
NISSAN,PATHFINDER 4WD,SUV - SMALL,3.5,6,AV,X,12.1,8.9,10.7
NISSAN,PATHFINDER 4WD PLATINUM,SUV - SMALL,3.5,6,AV,X,12.7,9,11
NISSAN,PATHFINDER HYBRID 4WD,SUV - STANDARD,2.5,4,AV,X,9.1,8.5,8.8
NISSAN,QUEST,MINIVAN,3.5,6,AV,X,12,8.7,10.5
NISSAN,ROGUE,SUV - SMALL,2.5,4,AV,X,9.2,7.2,8.3
NISSAN,ROGUE AWD,SUV - SMALL,2.5,4,AV,X,9.5,7.4,8.5
NISSAN,TITAN,PICKUP TRUCK - STANDARD,5.6,8,A5,X,18.4,13.3,16.1
NISSAN,TITAN 4WD,PICKUP TRUCK - STANDARD,5.6,8,A5,X,19.7,14.3,17.2
NISSAN,SENTRA,MID-SIZE,1.8,4,AV,X,8,6.1,7.2
NISSAN,SENTRA,MID-SIZE,1.8,4,M6,X,8.9,6.6,7.9
